week_start,week_end,price,symbol,box_type
2022-05-30,2022-06-05,95.76,CLB,Draft
2022-06-06,2022-06-12,89.79,CLB,Draft
2022-06-13,2022-06-19,89.86,CLB,Draft
2022-06-20,2022-06-26,87.20,CLB,Draft
2022-06-27,2022-07-03,85.33,CLB,Draft
2022-07-04,2022-07-10,89.47,CLB,Draft
2022-07-11,2022-07-17,93.08,CLB,Draft
2022-07-18,2022-07-24,84.91,CLB,Draft
2022-07-25,2022-07-31,85.63,CLB,Draft
2022-08-01,2022-08-07,85.49,CLB,Draft
2022-08-08,2022-08-14,83.01,CLB,Draft
2022-08-15,2022-08-21,82.48,CLB,Draft
2022-08-22,2022-08-28,82.80,CLB,Draft
2022-08-29,2022-09-04,82.10,CLB,Draft
2022-09-05,2022-09-11,82.98,CLB,Draft
2022-09-12,2022-09-18,83.22,CLB,Draft
2022-09-19,2022-09-25,83.06,CLB,Draft
2022-09-26,2022-10-02,79.34,CLB,Draft
2022-10-03,2022-10-09,77.59,CLB,Draft
2022-10-10,2022-10-16,77.38,CLB,Draft
2022-10-17,2022-10-23,78.81,CLB,Draft
